Weight_Max,1,2,3,4,5,6,7,8
1,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
2,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61
3,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62
4,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63
5,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64
6,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
7,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
8,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67
9,4.79,4.81,4.86,5.21,5.35,5.47,5.65,5.83
10,4.81,4.83,4.88,5.23,5.38,5.49,5.69,5.89
11,4.82,4.84,4.89,5.26,5.41,5.52,5.76,5.97
12,4.84,4.86,4.91,5.28,5.43,5.54,5.8,6.04
13,4.85,4.87,4.92,5.31,5.46,5.57,5.84,6.12
14,4.87,4.89,4.95,5.33,5.48,5.6,5.86,6.14
15,4.88,4.9,4.96,5.36,5.51,5.63,5.89,6.17
15.99,4.92,4.95,5,5.39,5.53,5.65,5.91,6.19
16,5.04,5.06,5.11,5.9,6.05,6.16,6.59,6.81
32,5.31,5.33,5.39,6.09,6.23,6.35,6.92,7.2
48,5.73,5.75,5.8,6.32,6.55,6.68,7.32,7.61
64,5.95,5.97,6.02,6.54,6.77,6.9,7.6,7.88
80,6.06,6.11,6.35,6.64,6.88,7.02,7.76,8.05
96,6.54,6.56,6.61,7.11,7.43,7.56,9.23,10.01
112,6.57,6.59,6.64,7.35,7.77,7.91,9.58,10.35
128,6.6,6.62,6.8,7.68,8.04,8.17,9.91,10.69
144,7.19,7.21,7.26,7.95,8.28,8.41,10.16,10.95
160,8.36,8.36,8.61,8.69,8.83,8.95,10.65,11.43
176,8.57,8.59,8.64,8.72,8.86,8.98,10.69,11.46
192,8.66,8.69,8.74,8.81,9.05,9.19,10.95,11.72
208,8.7,8.72,8.77,8.84,9.48,9.62,11.39,12.16
224,9.01,9.03,9.08,9.16,9.85,9.98,11.74,12.52
240,10.34,10.36,10.41,10.49,10.63,10.75,12.12,12.9
256,10.41,10.43,10.49,10.56,10.71,10.82,12.19,12.97
272,10.49,10.51,10.56,10.63,10.78,10.9,12.27,13.04
288,10.56,10.58,10.63,10.71,10.85,10.97,12.34,13.12
304,10.63,10.65,10.71,10.78,10.93,11.04,12.41,13.19
320,10.76,10.78,10.83,10.91,11.05,11.17,12.54,13.32
336,10.89,10.91,10.96,11.03,11.18,11.29,12.67,13.44
352,11.01,11.03,11.08,11.16,11.3,11.42,12.79,13.57
368,11.51,11.53,11.59,11.66,11.81,11.92,12.92,13.69
384,12.1,12.12,12.17,12.25,12.39,12.51,13.04,13.82
400,12.67,12.69,12.74,12.81,12.96,13.07,13.34,13.94
