Weight_Max,1,2,3,4,5,6,7,8
1,3.59,3.64,3.7,3.77,3.8,3.81,3.82,3.84
2,3.63,3.7,3.75,3.82,3.9,3.92,3.93,3.95
3,3.65,3.73,3.78,3.86,3.96,3.98,4.01,4.03
4,3.66,3.77,3.82,3.9,4.04,4.08,4.11,4.14
5,3.7,3.8,3.86,4.1,4.14,4.18,4.22,4.24
6,3.72,3.81,3.88,4.17,4.21,4.24,4.3,4.34
7,3.74,3.84,3.9,4.21,4.25,4.32,4.37,4.43
8,3.75,3.85,3.91,4.24,4.32,4.39,4.45,4.53
9,3.79,3.93,4.02,4.37,4.44,4.53,4.61,4.69
10,3.81,3.95,4.03,4.4,4.51,4.6,4.69,4.78
11,3.91,4.06,4.14,4.47,4.58,4.68,4.78,4.87
12,3.93,4.08,4.16,4.52,4.63,4.74,4.84,4.96
13,3.95,4.09,4.18,4.56,4.7,4.82,4.99,5.11
14,3.96,4.11,4.19,4.57,4.72,4.83,5.05,5.19
15,3.98,4.12,4.21,4.59,4.74,4.85,5.12,5.26
15.99,3.99,4.14,4.22,4.6,4.75,4.86,5.13,5.4
16,4.1,4.23,4.32,4.69,4.84,5.01,5.27,5.55
32,4.22,4.34,4.43,4.81,4.96,5.12,5.39,5.67
48,4.26,4.65,4.75,4.83,4.98,5.44,5.7,5.98
64,4.44,4.68,4.78,4.86,5.01,5.52,5.78,6.07
80,4.53,4.77,4.86,4.95,5.21,5.76,6.02,6.31
96,4.56,4.79,4.88,4.97,5.52,6.1,6.36,6.64
112,4.58,4.82,4.91,5,5.67,6.26,6.52,6.8
128,4.61,4.84,4.94,5.02,5.78,6.38,6.64,6.93
144,4.78,5.02,5.11,5.19,5.85,6.45,6.72,7
160,5,5.25,5.34,5.42,6.17,6.8,7.06,7.34
176,5.03,5.28,5.38,5.45,6.3,6.94,7.2,7.48
192,5.06,5.31,5.41,5.48,6.52,7.18,7.44,7.72
208,5.33,5.6,5.69,5.76,6.81,7.5,7.76,8.05
224,5.57,5.85,5.94,6.01,7.05,7.76,8.03,8.31
240,5.84,6.12,6.21,6.29,7.29,8.03,8.29,8.57
256,6.4,6.71,6.8,6.87,7.53,8.29,8.55,8.83
272,6.52,6.83,6.93,7,7.77,8.55,8.81,9.09
288,6.62,6.94,7.03,7.1,8.01,8.81,9.07,9.36
304,6.82,7.15,7.24,7.31,8.26,9.07,9.33,9.62
320,7.08,7.42,7.51,7.59,8.5,9.33,9.6,9.88
336,7.93,8.31,8.4,8.48,8.74,9.6,9.86,10.14
352,8.09,8.47,8.56,8.63,8.98,9.86,10.12,10.4
368,8.23,8.62,8.72,8.79,9.22,10.12,10.38,10.67
384,8.39,8.78,8.87,8.95,9.46,10.38,10.64,10.93
400,8.55,8.95,9.04,9.11,9.7,10.64,10.91,11.19
