Weight_Max,1,2,3,4,5,6,7,8
1,3.78,3.82,3.86,3.98,4.08,4.24,4.32,4.54
2,3.78,3.82,3.86,3.98,4.08,4.24,4.32,4.54
3,3.78,3.82,3.86,3.98,4.08,4.24,4.32,4.54
4,3.78,3.82,3.86,3.98,4.08,4.24,4.32,4.54
5,3.81,3.86,3.89,4.01,4.17,4.46,4.57,4.85
6,3.81,3.86,3.89,4.01,4.17,4.46,4.57,4.85
7,3.81,3.86,3.89,4.01,4.17,4.46,4.57,4.85
8,3.81,3.86,3.89,4.01,4.17,4.46,4.57,4.85
9,4.17,4.22,4.3,4.47,4.73,5.17,5.33,5.71
10,4.17,4.22,4.3,4.47,4.73,5.17,5.33,5.71
11,4.17,4.22,4.3,4.47,4.73,5.17,5.33,5.71
12,4.17,4.22,4.3,4.47,4.73,5.17,5.33,5.71
13,4.41,4.45,4.55,4.74,5.08,5.61,5.8,6.22
14,4.41,4.45,4.55,4.74,5.08,5.61,5.8,6.22
15,4.41,4.45,4.55,4.74,5.08,5.61,5.8,6.22
15.99,4.41,4.45,4.55,4.74,5.08,5.61,5.8,6.22
16,5.63,5.65,5.81,6.17,6.96,7.96,8.23,8.91
32,5.74,5.82,5.92,6.43,6.98,8.14,8.53,9.5
48,6.21,6.21,6.52,6.98,8.24,9.84,10.37,11.58
64,6.51,6.55,6.93,7.73,9.22,11.19,11.87,13.42
80,6.66,6.7,7.13,7.97,9.63,11.73,12.49,14.21
96,6.88,6.93,7.4,8.37,10.23,12.57,13.43,15.39
112,7,7.04,7.55,8.57,10.57,13.02,13.96,16.05
128,7.09,7.16,7.69,8.75,10.87,13.42,14.43,16.62
144,7.24,7.3,7.85,8.97,11.24,13.91,14.99,17.32
160,7.4,7.47,8.04,9.21,11.62,14.43,15.59,18.08
176,7.85,7.91,8.5,9.73,12.23,15.14,16.45,19.12
192,8.05,8.11,8.72,10.03,12.67,15.74,17.12,19.97
208,8.25,8.32,8.96,10.31,13.13,16.36,17.82,20.83
224,8.44,8.52,9.17,10.63,13.58,17,18.52,21.72
240,8.62,8.7,9.41,10.91,14.04,17.64,19.25,22.62
256,8.81,8.89,9.61,11.2,14.51,18.3,19.98,23.52
272,8.98,9.07,9.82,11.5,14.93,18.87,20.63,24.34
288,9.16,9.26,10.06,11.8,15.37,19.5,21.34,25.22
304,9.35,9.46,10.27,12.1,15.8,20.11,22.02,26.08
320,9.58,9.7,10.59,12.41,16.4,21.04,23.23,27.36
