Weight_Max,1,2,3,4,5,6,7,8
1,3.93,3.97,4.01,4.13,4.28,4.44,4.57,4.79
2,3.93,3.97,4.01,4.13,4.28,4.44,4.57,4.79
3,3.93,3.97,4.01,4.13,4.28,4.44,4.57,4.79
4,3.93,3.97,4.01,4.13,4.28,4.44,4.57,4.79
5,3.96,4.01,4.04,4.16,4.37,4.66,4.82,5.1
6,3.96,4.01,4.04,4.16,4.37,4.66,4.82,5.1
7,3.96,4.01,4.04,4.16,4.37,4.66,4.82,5.1
8,3.96,4.01,4.04,4.16,4.37,4.66,4.82,5.1
9,4.32,4.37,4.45,4.62,4.93,5.37,5.58,5.96
10,4.32,4.37,4.45,4.62,4.93,5.37,5.58,5.96
11,4.32,4.37,4.45,4.62,4.93,5.37,5.58,5.96
12,4.32,4.37,4.45,4.62,4.93,5.37,5.58,5.96
13,4.56,4.6,4.7,4.89,5.28,5.81,6.05,6.47
14,4.56,4.6,4.7,4.89,5.28,5.81,6.05,6.47
15,4.56,4.6,4.7,4.89,5.28,5.81,6.05,6.47
15.99,4.56,4.6,4.7,4.89,5.28,5.81,6.05,6.47
16,5.78,5.8,5.96,6.32,7.16,8.16,8.48,9.16
32,5.89,5.97,6.07,6.58,7.18,8.34,8.78,9.75
48,6.36,6.36,6.67,7.13,8.44,10.04,10.62,11.83
64,6.66,6.7,7.08,7.88,9.42,11.39,12.12,13.67
80,6.81,6.85,7.28,8.12,9.83,11.93,12.74,14.46
96,7.03,7.08,7.55,8.52,10.43,12.77,13.68,15.64
112,7.15,7.19,7.7,8.72,10.77,13.22,14.21,16.3
128,7.24,7.31,7.84,8.9,11.07,13.62,14.68,16.87
144,7.39,7.45,8,9.12,11.44,14.11,15.24,17.57
160,7.55,7.62,8.19,9.36,11.82,14.63,15.84,18.33
176,8,8.06,8.65,9.88,12.43,15.34,16.7,19.37
192,8.2,8.26,8.87,10.18,12.87,15.94,17.37,20.22
208,8.4,8.47,9.11,10.46,13.33,16.56,18.07,21.08
224,8.59,8.67,9.32,10.78,13.78,17.2,18.77,21.97
240,8.77,8.85,9.56,11.06,14.24,17.84,19.5,22.87
256,8.96,9.04,9.76,11.35,14.71,18.5,20.23,23.77
272,9.13,9.22,9.97,11.65,15.13,19.07,20.88,24.59
288,9.31,9.41,10.21,11.95,15.57,19.7,21.59,25.47
304,9.5,9.61,10.42,12.25,16,20.31,22.27,26.33
320,9.73,9.85,10.74,12.56,16.6,21.24,23.48,27.61
