Weight_Max,1,2,3,4,5,6,7,8
1,3.45,3.45,3.61,3.66,3.69,3.88,4.15,4.43
2,3.45,3.45,3.61,3.66,3.69,3.88,4.15,4.43
3,3.45,3.45,3.61,3.66,3.69,3.88,4.15,4.43
4,3.45,3.45,3.61,3.66,3.69,3.88,4.15,4.43
5,3.51,3.45,3.77,3.81,3.83,4.02,4.29,4.59
6,3.51,3.68,3.77,3.81,3.83,4.02,4.29,4.59
7,3.51,3.68,3.77,3.81,3.83,4.02,4.29,4.59
8,3.51,3.79,3.77,3.81,3.83,4.02,4.29,4.59
9,3.62,3.79,3.92,3.95,3.97,4.16,4.44,4.65
10,3.62,3.79,3.92,3.95,3.97,4.16,4.44,4.65
11,3.62,3.79,3.92,3.95,3.97,4.16,4.44,4.65
12,3.62,3.9,3.92,3.95,3.97,4.16,4.44,4.65
13,3.73,3.9,4.07,4.1,4.11,4.29,4.47,4.65
14,3.73,3.9,4.07,4.1,4.11,4.29,4.47,4.65
15,3.73,3.9,4.07,4.1,4.11,4.29,4.47,4.65
15.99,3.73,3.9,4.07,4.1,4.11,4.29,4.47,4.65
16,4.15,4.18,4.22,4.27,4.32,4.38,4.5,4.73
32,4.15,4.18,4.22,4.27,4.32,4.38,4.5,4.73
48,4.15,4.18,4.22,4.27,4.32,4.38,4.5,4.73
64,4.15,4.18,4.22,4.27,4.32,4.38,4.5,4.73
80,4.15,4.18,4.22,4.27,4.32,4.38,4.5,4.73
96,4.2,4.23,4.27,4.32,4.37,4.43,4.55,4.78
112,4.25,4.28,4.32,4.37,4.42,4.48,4.6,4.83
128,4.3,4.33,4.37,4.42,4.47,4.53,4.65,4.88
144,4.35,4.38,4.42,4.47,4.52,4.58,4.7,4.93
160,4.4,4.43,4.47,4.52,4.57,4.63,4.75,4.98
176,7.2,7.27,7.47,7.82,8.04,8.27,8.5,8.74
192,7.47,7.54,7.75,8.11,8.34,8.58,8.82,9.07
208,7.74,7.81,8.03,8.4,8.64,8.89,9.14,9.4
224,7.98,8.06,8.28,8.67,8.92,9.17,9.43,9.7
240,8.22,8.29,8.53,8.93,9.18,9.44,9.71,9.99
256,8.51,8.59,8.83,9.24,9.51,9.78,10.06,10.34
272,8.68,8.77,9.01,9.44,9.71,9.98,10.27,10.56
288,8.96,9.05,9.3,9.74,10.02,10.31,10.6,10.9
304,9.21,9.3,9.56,10.01,10.3,10.59,10.89,11.21
320,10.24,10.34,10.64,11.14,11.46,11.79,12.13,12.48
