Weight_Max,1,2,3,4,5,6,7,8,9,10
1,3.27,3.31,3.34,3.45,3.55,3.71,3.8,3.98,4.52,4.21
2,3.27,3.31,3.34,3.45,3.55,3.71,3.8,3.98,4.52,4.21
3,3.27,3.31,3.34,3.45,3.55,3.71,3.8,3.98,4.52,4.21
4,3.27,3.31,3.34,3.45,3.55,3.71,3.8,3.98,4.52,4.21
5,3.59,3.59,3.59,3.75,3.75,3.83,4.04,4.12,4.52,4.21
6,3.59,3.59,3.59,3.75,3.75,3.83,4.04,4.12,4.52,4.21
7,3.59,3.59,3.59,3.75,3.75,3.83,4.04,4.12,4.52,4.21
8,3.59,3.59,3.59,3.75,3.75,3.83,4.04,4.12,4.52,4.21
9,3.59,3.59,3.59,3.75,3.75,3.83,4.04,4.12,4.52,4.21
10,3.59,3.59,3.59,3.75,3.75,3.83,4.04,4.12,4.52,4.21
11,3.59,3.59,3.59,3.75,3.75,3.83,4.04,4.12,4.52,4.21
12,3.59,3.59,3.59,3.79,3.79,3.93,4.04,4.12,4.52,4.21
13,3.79,3.79,3.79,3.89,3.93,3.94,4.04,4.12,4.52,4.51
14,3.79,3.79,3.79,3.92,3.93,4.04,4.5,4.5,4.89,4.51
15,3.79,3.79,3.86,3.99,4.21,4.39,4.9,4.9,4.9,4.51
16,3.79,3.79,3.86,4.16,4.21,4.39,4.9,5.25,5.25,4.51
32,3.79,3.79,3.86,4.16,4.21,4.39,4.9,5.25,5.25,4.51
48,4.3,4.32,4.32,4.32,4.32,4.39,5.46,5.73,5.73,4.68
64,5.05,5.07,5.07,5.07,5.07,5.07,5.46,5.73,5.73,5.83
80,5.98,5.98,5.98,5.98,5.98,5.98,10.57,12.08,12.89,5.83
96,6.19,6.19,6.19,6.19,6.19,6.19,12.15,13.97,13.97,5.83
112,6.29,6.32,6.32,6.32,6.32,11.81,12.6,13.97,13.97,5.83
128,6.36,6.42,6.88,6.88,9.73,12.13,12.99,13.97,14.98,5.83
144,6.48,6.53,7.01,8.03,10.04,12.56,13.47,15.59,15.59,7.06
160,6.61,6.67,7.17,8.24,10.37,13.01,13.98,16.23,16.23,7.06
