Weight_Max,1,2,3,4,5,6,7,8
1,3.46,3.5,3.53,3.64,3.73,3.88,3.96,4.15
2,3.46,3.5,3.53,3.64,3.73,3.88,3.96,4.15
3,3.46,3.5,3.53,3.64,3.73,3.88,3.96,4.15
4,3.46,3.5,3.53,3.64,3.73,3.88,3.96,4.15
5,3.49,3.53,3.56,3.67,3.82,4.08,4.18,4.44
6,3.49,3.53,3.56,3.67,3.82,4.08,4.18,4.44
7,3.49,3.53,3.56,3.67,3.82,4.08,4.18,4.44
8,3.49,3.53,3.56,3.67,3.82,4.08,4.18,4.44
9,3.82,3.86,3.94,4.09,4.33,4.73,4.88,5.23
10,3.82,3.86,3.94,4.09,4.33,4.73,4.88,5.23
11,3.82,3.86,3.94,4.09,4.33,4.73,4.88,5.23
12,3.82,3.86,3.94,4.09,4.33,4.73,4.88,5.23
13,4.03,4.07,4.16,4.34,4.65,5.13,5.31,5.69
14,4.03,4.07,4.16,4.34,4.65,5.13,5.31,5.69
15,4.03,4.07,4.16,4.34,4.65,5.13,5.31,5.69
15.999,4.03,4.07,4.16,4.34,4.65,5.13,5.31,5.69
16,5.15,5.17,5.32,5.65,6.37,7.29,7.53,8.16
32,5.25,5.33,5.42,5.89,6.39,7.46,7.81,8.7
48,5.68,5.68,5.97,6.39,7.54,9.01,9.5,10.6
64,5.96,6,6.35,7.07,8.45,10.25,10.87,12.29
80,6.09,6.13,6.52,7.3,8.82,10.74,11.44,13.01
96,6.3,6.35,6.78,7.66,9.37,11.51,12.3,14.09
112,6.41,6.45,6.92,7.85,9.68,11.93,12.79,14.7
128,6.5,6.55,7.04,8.01,9.96,12.29,13.22,15.22
144,6.63,6.68,7.19,8.21,10.29,12.74,13.73,15.87
160,6.78,6.84,7.36,8.44,10.64,13.22,14.28,16.56
176,7.19,7.24,7.78,8.91,11.2,13.87,15.06,17.51
192,7.37,7.43,7.99,9.18,11.6,14.42,15.68,18.29
208,7.55,7.62,8.2,9.45,12.02,14.99,16.32,19.08
224,7.73,7.8,8.4,9.73,12.44,15.57,16.97,19.9
240,7.9,7.97,8.61,10,12.86,16.16,17.63,20.72
256,8.06,8.14,8.8,10.26,13.29,16.76,18.3,21.54
272,8.22,8.31,9,10.53,13.67,17.29,18.9,22.3
288,8.39,8.48,9.21,10.81,14.07,17.86,19.54,23.1
304,8.56,8.66,9.41,11.08,14.48,18.42,20.17,23.89
320,8.77,8.89,9.7,11.37,15.02,19.27,21.28,25.06
