Weight_Max,1,2,3,4,5,6,7,8
1,2.95,2.95,3.11,3.16,3.19,3.38,3.65,3.93
2,2.95,2.95,3.11,3.16,3.19,3.38,3.65,3.93
3,2.95,2.95,3.11,3.16,3.19,3.38,3.65,3.93
4,2.95,2.95,3.11,3.16,3.19,3.38,3.65,3.93
5,3.01,2.95,3.27,3.31,3.33,3.52,3.79,4.09
6,3.01,3.18,3.27,3.31,3.33,3.52,3.79,4.09
7,3.01,3.18,3.27,3.31,3.33,3.52,3.79,4.09
8,3.01,3.29,3.27,3.31,3.33,3.52,3.79,4.09
9,3.12,3.29,3.42,3.45,3.47,3.66,3.94,4.15
10,3.12,3.29,3.42,3.45,3.47,3.66,3.94,4.15
11,3.12,3.29,3.42,3.45,3.47,3.66,3.94,4.15
12,3.12,3.4,3.42,3.45,3.47,3.66,3.94,4.15
13,3.23,3.4,3.57,3.6,3.61,3.79,3.97,4.15
14,3.23,3.4,3.57,3.6,3.61,3.79,3.97,4.15
15,3.23,3.4,3.57,3.6,3.61,3.79,3.97,4.15
15.99,3.23,3.4,3.57,3.6,3.61,3.79,3.97,4.15
16,3.65,3.68,3.72,3.77,3.82,3.88,4,4.23
32,3.65,3.68,3.72,3.77,3.82,3.88,4,4.23
48,3.65,3.68,3.72,3.77,3.82,3.88,4,4.23
64,3.65,3.68,3.72,3.77,3.82,3.88,4,4.23
80,3.65,3.68,3.72,3.77,3.82,3.88,4,4.23
96,3.7,3.73,3.77,3.82,3.87,3.93,4.05,4.28
112,3.75,3.78,3.82,3.87,3.92,3.98,4.1,4.33
128,3.8,3.83,3.87,3.92,3.97,4.03,4.15,4.38
144,3.85,3.88,3.92,3.97,4.02,4.08,4.2,4.43
160,3.9,3.93,3.97,4.02,4.07,4.13,4.25,4.48
176,6.7,6.77,6.97,7.32,7.54,7.77,8,8.24
192,6.97,7.04,7.25,7.61,7.84,8.08,8.32,8.57
208,7.24,7.31,7.53,7.9,8.14,8.39,8.64,8.9
224,7.48,7.56,7.78,8.17,8.42,8.67,8.93,9.2
240,7.72,7.79,8.03,8.43,8.68,8.94,9.21,9.49
256,8.01,8.09,8.33,8.74,9.01,9.28,9.56,9.84
272,8.18,8.27,8.51,8.94,9.21,9.48,9.77,10.06
288,8.46,8.55,8.8,9.24,9.52,9.81,10.1,10.4
304,8.71,8.8,9.06,9.51,9.8,10.09,10.39,10.71
320,9.74,9.84,10.14,10.64,10.96,11.29,11.63,11.98
