Weight_Max,1,2,3,4,5,6,7,8
1,2.97,2.98,2.99,3.07,3.12,3.19,3.25,3.3
2,2.97,2.98,2.99,3.07,3.12,3.19,3.25,3.3
3,2.97,2.98,3,3.07,3.12,3.19,3.25,3.3
4,2.97,2.98,3,3.07,3.12,3.19,3.25,3.3
5,3.01,3.02,3.04,3.12,3.18,3.25,3.34,3.39
6,3.01,3.02,3.04,3.12,3.18,3.25,3.34,3.39
7,3.01,3.02,3.04,3.12,3.18,3.25,3.34,3.39
8,3.01,3.02,3.04,3.12,3.18,3.25,3.34,3.39
9,3.01,3.02,3.04,3.12,3.19,3.25,3.34,3.39
10,3.01,3.02,3.04,3.12,3.19,3.25,3.34,3.39
11,3.01,3.02,3.04,3.12,3.19,3.25,3.34,3.39
12,3.01,3.02,3.04,3.12,3.19,3.25,3.34,3.39
13,3.01,3.02,3.04,3.12,3.19,3.25,3.34,3.39
14,3.01,3.02,3.04,3.12,3.19,3.25,3.34,3.39
15,3.01,3.02,3.04,3.12,3.19,3.25,3.34,3.39
16,3.12,3.14,3.17,3.33,3.43,3.55,3.69,3.79
32,3.17,3.18,3.22,3.4,3.51,3.64,3.81,3.91
48,3.57,3.58,3.63,3.84,3.98,4.13,4.33,4.46
64,3.88,3.9,3.96,4.22,4.4,4.59,4.83,5
80,4.24,4.28,4.46,5.19,5.69,6.26,6.93,7.39
96,4.51,4.57,4.79,5.69,6.3,6.98,7.81,8.37
112,4.78,4.85,5.12,6.24,7,7.85,8.87,9.59
128,4.89,4.97,5.26,6.46,7.27,8.18,9.28,10.05
144,5.05,5.14,5.47,6.84,7.76,8.8,10.05,10.92
160,5.25,5.35,5.72,7.27,8.32,9.5,10.93,11.92
176,5.61,5.73,6.2,8.12,9.42,10.89,12.65,13.87
192,5.71,5.83,6.32,8.31,9.65,11.17,12.99,14.26
208,5.75,5.87,6.36,8.37,9.74,11.28,13.12,14.4
224,5.91,6.06,6.58,8.78,10.27,11.94,13.95,15.34
240,6.16,6.31,6.86,9.15,10.69,12.44,14.54,15.98
256,6.25,6.41,6.98,9.36,10.97,12.78,14.96,16.47
272,6.46,6.63,7.27,9.92,11.71,13.73,16.15,17.83
288,6.5,6.67,7.31,9.98,11.78,13.81,16.25,17.94
304,6.6,6.78,7.43,10.17,12.02,14.1,16.6,18.34
320,7.55,7.75,8.5,11.57,13.66,15.99,18.82,20.76
336,7.71,7.92,8.71,11.99,14.21,16.71,19.71,21.79
352,7.82,8.05,8.87,12.29,14.61,17.21,20.33,22.5
368,7.93,8.17,9.02,12.61,15.05,17.77,21.06,23.34
384,8.35,8.63,9.64,13.87,16.74,19.95,23.82,26.51
400,8.43,8.71,9.73,14,16.9,20.15,24.06,26.78
