Zipcode_Prefix,PA Zone,TX Zone,CA Zone
996,8,8,8
360,5,5,8
351,5,4,8
363,5,5,8
719,6,3,7
724,5,4,7
721,6,3,7
716,6,3,7
856,8,5,5
853,8,6,4
857,8,5,4
852,8,5,4
958,8,7,3
911,8,6,3
953,8,6,2
913,8,6,3
908,8,6,3
922,8,6,4
945,8,7,2
921,8,6,4
957,8,7,3
941,8,7,3
926,8,6,3
906,8,6,3
917,8,6,3
936,8,6,1
928,8,6,3
937,8,6,1
946,8,7,2
920,8,6,4
934,8,6,2
925,8,6,3
952,8,6,2
802,7,5,5
816,7,5,5
801,7,5,5
809,7,5,5
63,3,7,8
68,2,7,8
64,3,7,8
199,2,6,8
321,5,5,8
333,6,6,8
334,5,6,8
322,5,5,8
331,6,6,8
338,5,5,8
324,5,5,8
336,5,5,8
349,5,6,8
335,5,5,8
330,6,6,8
339,5,5,8
320,5,5,8
300,5,5,8
301,5,5,8
306,5,5,8
317,5,5,8
303,5,5,8
307,5,5,8
523,5,5,7
524,5,5,7
838,8,7,5
834,8,6,5
600,5,5,7
615,5,5,7
620,5,4,7
604,5,5,7
462,4,5,8
473,4,5,8
479,5,5,7
669,6,4,6
662,6,4,6
670,6,4,6
405,4,5,8
421,5,5,8
20,3,7,8
11,3,7,8
25,3,7,8
24,3,7,8
23,3,7,8
27,3,7,8
18,3,7,8
207,2,6,8
212,2,6,8
208,2,6,8
210,2,6,8
488,4,5,8
486,4,6,8
491,4,5,8
481,4,5,8
482,4,5,8
490,4,5,8
631,5,4,7
640,6,4,7
644,6,4,6
633,5,4,7
394,5,4,7
395,6,4,8
599,8,7,5
271,4,5,8
286,4,5,8
275,4,6,8
284,4,6,8
278,4,6,8
581,6,5,6
680,6,5,6
30,3,7,8
70,2,6,8
88,1,6,8
77,2,6,8
76,2,6,8
85,1,6,8
871,7,4,5
890,8,6,3
148,3,6,8
144,3,6,8
110,2,6,8
114,2,6,8
125,2,7,8
117,2,7,8
108,2,6,8
120,3,7,8
104,2,6,8
112,2,6,8
105,2,6,8
142,3,6,8
127,2,6,8
103,2,6,8
441,4,6,8
442,4,5,8
451,4,5,8
437,4,5,8
440,4,6,8
452,4,5,8
449,4,5,8
730,6,3,6
978,8,7,4
972,8,7,5
970,8,7,4
975,8,7,4
194,1,6,8
153,3,6,8
189,1,6,8
173,2,6,8
190,1,6,8
150,3,6,8
185,2,6,8
180,1,6,8
28,3,7,8
298,4,5,8
297,4,5,8
372,5,5,8
371,5,5,8
373,5,5,8
385,5,5,8
750,6,1,6
766,6,2,6
793,7,3,6
773,6,3,7
760,6,2,6
775,6,3,7
774,6,3,7
787,7,3,6
794,7,3,6
790,7,4,6
752,6,1,6
785,7,4,7
757,6,2,7
841,8,5,4
222,2,6,8
223,2,6,8
221,2,6,8
241,4,5,8
57,3,7,8
56,4,7,8
54,4,7,8
983,8,7,5
984,8,7,5
993,8,7,5
980,8,7,5
986,8,7,5
531,5,5,7
543,5,5,7
530,5,5,7
260,3,6,8
247,4,5,8
824,7,6,5
